Tegye az alábbi növényeket virágzási idejük kezdete szerint idõrendbe!;ibolya;rózsa;orgona;õszi rózsa;ACBD;BIOLÓGIA
Állítsa növekvõ sorrendbe az alábbi mesefigurákhoz tartozó számokat!;Hófehérke;Kismalac;a brémai muzsikusok;Ali baba;BCAD;FILM
Állítsa keletkezési sorrendbe a következõ regényeket! Kezdje a legrégebbivel!;Robinson Crusoe;A fekete gyémántok;Az öreg halász és a tenger;Svejk;ABDC;IRODALOM
Tegye születésük idõrendjébe az alábbi magyar írókat!;Mikszáth Kálmán;Németh László;Jókai Mór;Móricz Zsigmond;CADB;IRODALOM
Állítsa sorba a rovarok kifejlõdésének szakaszait! Kezdje a legkorábbi állapottal!;báb;pete;lárva;imágó;BCAD;BIOLÓGIA
Tegye az építészeti korszakokat idõrendi sorrendbe!;gótika;klasszicizmus;román;barokk;CADB;ÉPÍTÉSZET
Állítsa sorrendbe területük alapján az alábbi európai országokat! Kezdje a legnagyobbal!;Lengyelország;Luxemburg;Vatikán;Franciaország;DABC;FÖLDRAJZ
A legtöbb aranyérmet nyerttel kezdve állítsa sorrendbe az alábbi magyar olimpiai bajnokokat!;Egerszegi Krisztina;Kárpáti Rudolf;Darnyi Tamás;Gerevich Aladár;DBAC;SPORT
Állítsa sorba az alábbi nyelveket elterjedtségük mértéke szerint! Kezdje a legtöbbek által beszélt nyelvvel!;kínai;perzsa;török;arab;ADCB;NYELV
Állítsa nagyság szerinti sorrendbe a fõvárosokat a lakosság száma alapján! Kezdje a legnagyobbal!;Moszkva;Tokió;Mexikóváros;Athén;CBAD;ORSZÁGOK
Állítsa sorrendbe az emberi fogazat tagjait! Kezdje középrõl!;zápfog;metszõfog;bölcsességfog;szemfog;BDAC;BIOLÓGIA
Állítsa idõrendi sorrendbe a következõ zeneszerzõket! Kezdje a legrégebbivel!;Berlioz;Mozart;Purcell;Prokofjev;CBAD;OPERA
Tegye az alábbi növényeket virágzási idejük kezdete szerint idõrendi sorrendbe!;csokros tulipán;kecses liliom;tarka kikerics;pompás hóvirág;DABC;BIOLÓGIA
Tegyék a zenés filmeket forgatásuk idõpontja szerinti sorrendbe! Kezdjék a legkorábbival!;West Side Story;Kabaré;Ének az esõben;Hair;CABD;FILM
Állítsa sorrendbe az alábbi állatokat fejlettségük szerint! Kezdje a legfejlettlenebbel!;béka;krokodil;ponty;veréb;CABD;BIOLÓGIA
Állítsa idõrendi sorrendbe az alábbi régi magyar hónapneveket! Kezdje a legkorábbival!;Szent Iván hava;Mindszent hava;Pünkösd hava;Szent György hava;DCAB;ÁLTALÁNOS
Állítsa nagyság szerinti sorrendbe az alábbi vonós hangszereket! Kezdje a legnagyobbal!;brácsa;nagybõgõ;hegedû;gordonka;BDAC;OPERA
Tegye az alábbi színmûveket születésük sorrendjébe! Kezdje a legrégebbivel!;Az ügynök halála;Tartuffe;Macbeth;Antigone;DCBA;IRODALOM
Állítsa sorrendbe az alábbi növényeket fejlettségük szerint! Kezdje a legfejlettlenebbel!;nyitvatermõk;harasztok;gombák;moszatok;DCBA;BIOLÓGIA
Állítsa sorrendbe az alábbi hangszereket húrjaik száma alapján! Kezdje a legnagyobb húrúval!;klasszikus gitár;citera;hárfa;brácsa;CBAD;OPERA
Állítsa sorrendbe az alábbi fõvárosokat Budapesttõl mért távolságuk alapján! Kezdje a legközelebbivel!;Prága;Tokió;London;Róma;ADCB;FÖLDRAJZ
Állítsa idõrendi sorrendbe az alábbi hadvezéreket! Kezdje a legkorábbival!;Kutuzov;Montgomery;Nagy Sándor;Wallenstein;CDAB;TÖRTÉNELEM
Állítsa sorba Nagy-Britannia miniszterelnökeit beiktatásuk idõrendje szerint!;John Major;Winston Churchill;Tony Blair;Margaret Thatcher;BDAC;TÖRTÉNELEM
Állítsa idõrendi sorrendbe a következõ olimpiai bajnok magyar úszókat! Kezdje a legkorábbival!;Hajós Alfréd;Darnyi Tamás;Csík Ferenc;Halmay Zoltán;ADCB;SPORT
Állítsák idõrendi sorrendbe a következõ olimpiai játékokat!;müncheni olimpia;tokiói olimpia;római olimpia;mexikói olimpia;CBDA;SPORT
Állítsák magasság szerint sorrendbe a felsorolt magyarországi hegycsúcsokat! Kezdjék a legkisebbel!;Galyatetõ;Somló;Csóványos;Gellért-hegy;DBCA;FÖLDRAJZ
Milyen sorrendben követték egymást a felsorolt amerikai elnökök?;Jimmy Carter;Richard Nixon;Gerald Ford;Ronald Reagan;BCAD;TÖRTÉNELEM
Tegyék az alábbi épületeket felépítésük szerinti sorrendbe, kezdjék a legrégebbivel!;Pantheon;Empire State Building;Notre-Dame;Eiffel-torony;ACDB;ÉPÍTÉSZET
Tegyék uralkodásuk idõrendjébe az alábbi magyar királyokat!;Károly Róbert;Mátyás;IV. Béla;I. László;DCAB;TÖRTÉNELEM
Állítsák keletkezési sorrendbe az alábbi vallásokat! Kezdjék a legrégebbivel!;buddhizmus;iszlám;katolicizmus;protestantizmus;ACBD;VALLÁS
Tegyék a találmányokat feltalálásuk idõrendje szerinti növekvõ sorrendbe!;villámhárító;radar;fonográf;könyvnyomtatás;DACB;TECHNIKA
Állítsák sorrendbe a felsorolt fákat magasságuk alapján! Kezdjék a legmagasabbal!;platánfa;jegenyefenyõ;mamutfenyõ;diófa;CBAD;BIOLÓGIA
Tegyék a zenés filmeket forgatásuk idõpontja szerinti sorrendbe! Kezdjék a legkorábbival!;West Side Story;Kabaré;Ének az esõben;Hair;CABD;FILM
Állítsák sorrendbe az alábbi állatokat lábuk száma szerint! Kezdjék a legkevesebbel!;madárpók;katicabogár;ökörszem;dromedár;CDBA;BIOLÓGIA
Tegye az alábbi színészeket születésük idõrendjébe!;Latabár Kálmán;Koltai Róbert;Charlie Chaplin;Hugh Grant;CABD;FILM
Tegyék az alábbi növényeket idõrendbe virágzási idejük kezdete szerint!;gyöngyvirág;jácint;petúnia;kerti õszirózsa;BACD;BIOLÓGIA
Állítsák sorrendbe a következõ szállítóeszközöket kerekeik száma alapján!;szekér;talicska;riksa;kamion;BCAD;TECHNIKA
Állítsák sorrendbe az alábbi országokat lakosságuk száma szerint!;Izrael;Mexikó;Belgium;India;ACBD;ORSZÁGOK
Állítsák idõrendi sorrendbe az alábbi Habsburg-házi uralkodókat!;II. József;IV. Károly;I. Ferdinánd;Mária Terézia;CDAB;TÖRTÉNELEM
Állítsák sorba az ógörög ábécé betûit az elejétõl kezdve!;omega;alfa;pszi;gamma;BDCA;NYELV
Állítsa idõrendbe az alábbi festõket! Kezdje a legrégebbivel!;Van Gogh;Picasso;Goya;Giotto;DCAB;KÉPZÕMÛVÉSZET
Állítsák idõrendbe a II. világháború eseményeit!;az atombomba bevetése;Párizs megszállása;Lengyelország lerohanása;a normandiai partraszállás;CBDA;TÖRTÉNELEM
Állítsák idõrendi sorrendbe az alábbi csatákat!;muhi csata;mohácsi csata;rozgonyi csata;pákozdi csata;ACBD;TÖRTÉNELEM
Tegyék a magyar színésznõket pályakezdésük idõrendjébe!;Laborfalvi Róza;Jászai Mari;Gryllus Dorka;Honthy Hanna;ABDC;FILM
Milyen sorrendben követik egymást az egyes úszásnemek a vegyesúszásban?;hátúszás;mellúszás;pillangóúszás;gyorsúszás;CABD;SPORT
Tegyék a találmányokat feltalálásuk idõrendjébe!;dinamit;mikroprocesszor;plexiüveg;vízvezetékrendszer;DACB;TECHNIKA
Állítsák sorrendbe a városokat az Egyenlítõtõl való távolságuk szerint!;Helsinki;Singapore;Mexikóváros;Prága;BCDA;FÖLDRAJZ
Tegye a drámaírókat születésük szerint idõrendbe!;Moliére;Shakespeare;Csehov;Szophoklész;DBAC;IRODALOM
Tegye az épületeket építésük kezdete szerint növekvõ sorrendbe!;visegrádi királyi palota;jáki templom;fertõdi Esterhazy-kastély;szegedi dóm;BACD;ÉPÍTÉSZET
Állítsák uralkodásuk idõrendjébe az alábbi híres uralkodónõket!;Viktória;Mária Terézia;I. Erzsébet;Kleopátra;DCBA;TÖRTÉNELEM
Tegyék a Duna folyásiránya szerint megfelelõ sorrendbe a városokat!;Gyõr;Mohács;Szentendre;Visegrád;ADCB;FÖLDRAJZ
Állítsák idõrendi sorrendbe az alábbi nyári olimpiai játékokat! Kezdjék a legkorábbival!;Barcelona;Amszterdam;Helsinki;Tokió;BCDA;SPORT
Állítsák idõrendi sorrendbe az alábbi mûvészeti irányzatokat! Kezdjék a legkorábbival!;szürrealizmus;posztmodern;impresszionizmus;rokokó;DCAB;MÛVÉSZET
Tegyék értékük növekvõ sorrendjébe az alábbi római számokat!;CM;CD;XC;C;CDBA;ÁLTALÁNOS
Tegyék születésük idõrendjébe az alábbi középkori hírességeket!;Nagy Károly;Szent István;Kolumbusz Kristóf;Marco Polo;ABDC;TÖRTÉNELEM
Tegyék elsõ világbajnoki aranyérmük elnyerésének idõrendjébe a Forma-1 pilótáit!;Niki Lauda;Alain Prost;Jackie Stewart;Mika Hakkinen;CABD;SPORT
Tegyék az Oscar-díjas filmeket díjazásuk idõrendjébe! Kezdjék a legrégebbivel!;Esõember;Ben Hur;Forrest Gump;Casablanca;DBAC;FILM
Tegyék sorrendbe fejtetõtõl talpig a ruhadarabokat viselésük helye szerint!;kucsma;rokolya;saru;dolmány;ADBC;ÁLTALÁNOS
Állítsák a nemzetközi szervezeteket megalakulásuk idõrendjébe!;ENSZ;NATO;NOB;EU;CABD;ÁLTALÁNOS
Állítsák keletkezési sorrendbe az alábbi magyar színpadi mûveket! Kezdjék a legrégebbivel!;Bánk bán;Macskajáték;Az ember tragédiája;A néma levente;ACDB;IRODALOM
Tegyék növekvõ sorrendbe a súlymértékeket!;font;tonna;mázsa;gramm;DACB;TUDOMÁNY
Állítsák emelkedõ sorrendbe egy oktávon belül a C-dúr skála hangjait!;e;a;d;h;CABD;OPERA
Tegyék az ételtípusokat hazai tálalási sorrendjükbe! Kezdjék az elsõként felkínálandóval!;leves;vegyes ízelítõ;húsétel;desszert;BACD;KONYHA
Tegyék az alábbi személyeket születési idejük szerinti növekvõ sorrendbe!;Leonardo da Vinci;Alfred Nobel;Arkhimédész;James Watt;CADB;TÖRTÉNELEM
Tegyék észak-déli sorrendbe a történelmi városokat! Kezdjék a legdélibbel!;Eger;Mohács;Kassa;Nándorfehérvár;DBAC;FÖLDRAJZ
Állítsák feltalálásuk sorrendjébe az alábbi találmányokat! Kezdjék a legrégebbivel!;telefon;televízió;gõzmozdony;távírókészülék;CDAB;TECHNIKA
Állítsák sorrendbe a városokat Budapesttõl mért távolságuk szerint! Kezdjék a legközelebbivel!;Nyíregyháza;Székesfehérvár;Vác;Szekszárd;CBDA;FÖLDRAJZ
Tegyék idõrendbe a négyütemû belsõ égésû motor mûködési ütemét!;sûrítés;szívás;munkaütem;kipufogás;BACD;TECHNIKA
Állítsák megalakulásuk szerinti idõrendbe a magyar könnyûzenei együtteseket! Kezdjék a legkorábbival!;Omega;Ámokfutók;Edda Mûvek;Pa-Dö-Dö;ACDB;ZENE
Tegyék a közlekedési eszközöket használatuk kezdetének idõrendjébe!;ûrrepülõgép;földalatti vasút;léghajó;harci szekér;DCBA;TECHNIKA
Állítsák a városokat alapításuk idõrendjébe!;Szentpétervár;Brasília;Madrid;Róma;DCAB;TÖRTÉNELEM
Állítsák a madarakat szárnyaik fesztávolságának növekvõ sorrendjébe!;szirti sas;ökörszem;vörösbegy;macskabagoly;BCDA;BIOLÓGIA
Tegyék az alábbi építményeket építésük idõrendje szerinti növekvõ sorrendbe!;Kheopsz piramis;Hagia Sophia;a londoni Szent Pál-katedrális;Colosseum;ADBC;ÉPÍTÉSZET
Tegyék a filmvígjátékokat bemutatásuk idõrendjébe! Kezdjék a legrégebbivel!;Furcsa pár;Micsoda nõ!;"Van, aki forrón szereti";Aranyláz;DCAB;FILM
Tegyék az alábbi táncokat európai elterjedtségük idõrendjébe!;bécsikeringõ;charleston;break;twist;ABDC;ÁLTALÁNOS
Állítsák sorba Az ember tragédiája alábbi színeit az elõadás idõrendjében!;a falanszter;a párizsi szín;az egyiptomi szín;a konstantinápolyi szín;CDBA;IRODALOM
Állítsák idõrendi sorrendbe a következõ Árpád-házi királyokat!;III. András;IV. Béla;Szent István;Könyves Kálmán;CDBA;TÖRTÉNELEM
Állítsák idõrendi sorrendbe a felsorolt háborúkat! Kezdjék a legkorábbival!;a százéves háború;a peloponnészoszi háború;a harmincéves háború;az elsõ világháború;BACD;TÖRTÉNELEM
Állítsák bemutatásuk sorrendjébe az alábbi magyar filmeket! Kezdjék a legkorábbival!;Körhinta;Halálos tavasz;A tizedes meg a többiek;Redl ezredes;BACD;FILM
Állítsák idõrendbe a Biblia eseményeit!;a bûnbeesés;Ádám teremtése;Jerikó elfoglalása;Salamon ítélete;BACD;VALLÁS
Állítsák irodalmi megjelenítésük idõrendi sorrendjébe az alábbi múzsákat!;Szendrey Júlia;Gyarmati Fanni;Vajda Julianna (Lilla);Boncza Berta (Csinszka);CADB;IRODALOM
Tegyék az építményeket építésük idõrendjébe! Kezdjék a legrégebbivel!;Stonehenge;a sydneyi Opera;Tádzs Mahal;Golden Gate híd;ACDB;ÉPÍTÉSZET
Tegyék a nagylemezeket megjelenésük idõrendjébe!;Hotel Menthol;Ezek a fiatalok;Rock and roller;Rapeta;BCAD;ZENE
Tegyék idõrendbe a török ellen vívott háborúk alábbi eseményeit!;a mohácsi csata;a vasvári béke;a nándorfehérvári gyõzelem;Buda török kézre kerül;CADB;TÖRTÉNELEM
Állítsák növekvõ sorrendbe az alábbi országokat területük nagysága szerint!;Brazília;Franciaország;Vietnam;Monaco;DCBA;FÖLDRAJZ
Állítsák bemutatásuk idõrendjébe az alábbi operákat! Kezdjék a legkorábbival!;A kékszakállú herceg vára;Don Giovanni;Orfeo;Traviata;CBDA;OPERA
Tegyék beiktatásuk idõrendjébe az alábbi magyar miniszterelnököket!;Nagy Imre;Andrássy Gyula;Tildy Zoltán;Károlyi Mihály;BDCA;TÖRTÉNELEM
Tegyék a találmányokat feltalálásuk idõrendjébe! Kezdjék a legrégebbivel!;Otto-motor;dízelmotor;küllõs kerék;sugárhajtómû;CABD;TECHNIKA
Tegyék idõrendbe a Petõfi Sándor életével kapcsolatos eseményeket!;nászút Koltón;a segesvári csata;a pesti forradalom;pápai diákidõk;DACB;IRODALOM
Állítsák növekvõ sorrendbe a következõ római számokat!;D ;V ;X ;L;BCDA;ÁLTALÁNOS
Tegyék a magyar filmvígjátékokat készítésük idõrendjébe! Kezdjék a legrégebbivel!;Mágnás Miska;Meseautó;A tanú;Zimmer Feri;BACD;FILM
Tegyék idõrendbe a XIX. századi magyar történelem jeles eseményeit!;kiegyezés;szabadságharc;Széchenyi halála;Napóleon Gyõrben;DBCA;TÖRTÉNELEM
Állítsák olimpiai aranyérmük elnyerésének idõrendjébe a felsorolt ökölvívóinkat! Kezdjék a legkorábbival!;Énekes István;Kovács István;Papp László;Gedó György;ACDB;SPORT
Tegyék a feltalálókat születésük szerint idõrendbe!;Rudolf Diesel;Eötvös Loránd;Gutenberg;Gábor Dénes;CBAD;TECHNIKA
Tegyék beiktatásuk idõrendjébe az amerikai elnököket!;T. Jefferson;F. D. Rossevelt;G. Bush;J. F. Kennedy;ABDC;TÖRTÉNELEM
Tegyék elõfordulásuk idõrendjébe a Nemzeti dal idézeteit!;Sehonnai bitang...;Talpra magyar...;Unokáink leborulnak...;Rabok voltunk...;BDAC;IRODALOM
Állítsák a naptól való távolság sorrendjébe az alábbi bolygókat! Kezdjék a legközelebbivel!;Föld;Vénusz;Merkúr;Mars;CBAD;TUDOMÁNY
Állítsák idõrendi sorrendbe az alábbi magyar futball-kapusokat! Kezdjék a legkorábbival!;Géczi István;Király Gábor;Grosics Gyula;Zsák Károly;DCAB;SPORT
Tegyék a zenés filmeket bemutatásuk idõrendjébe!;Szombat esti láz;Egy nehéz nap éjszakája;"Óz, a csodák csodája";Flashdance;CBAD;FILM
Állítsák idõrendi sorrendbe az alábbi magyar könnyûzenei slágereket! Kezdjék a legkorábbival!;Trombitás Frédi;Hamvadó cigarettavég;A Sexepilem;Kölyköd voltam;BADC;ZENE
Állítsák sorrendbe az alábbi katonai rendfokozatokat! Kezdjék a legalacsonyabbal!;hadnagy;ezredes;százados;õrmester;DACB;ÁLTALÁNOS
Állítsák a magyar megyeszékhelyeket észak-déli sorrendbe!;Kecskemét;Pécs;Veszprém;Gyõr;DCAB;FÖLDRAJZ
Tegyék születésük idõrendjébe az ókori hírességeket!;Julius Caesar;Nero;Nagy Sándor;Tutankhamon;DCAB;TÖRTÉNELEM
Állítsák idõrendi sorrendbe a következõ magyar filmeket! Kezdjék a legkorábbival!;Halálos tavasz;Körhinta;Mephisto;Valahol Európában;ADBC;FILM
Állítsák idõrendi sorrendbe az alábbi aranylabdás futballistákat! Kezdjék a legkorábbival!;Alfredo di Stefano;Michel Platini;Albert Flórián;Zinedine Zidane;ACBD;SPORT
Állítsák az alábbi szerzõket irodalmi Nobel-díjuk elnyerésének idõrendjébe!;Kipling;Grass;Thomas Mann;Márquez;ACDB;IRODALOM
Állítsák idõrendi sorrendbe az alábbi hadvezéreket! Kezdjék a legrégebbivel!;Kutuzov;Miltiadész;Wallenstein;Montgomery;BCAD;TÖRTÉNELEM
Tegyék keletkezésük sorrendjébe az alábbi dalokat! Kezdjék a legkorábbival!;Kossuth-nóta;Szomorú vasárnap;Marseillaise;Bye-bye Szása!;CABD;ZENE
Tegyék uralkodásuk idõrendjébe az alábbi híres rómaiakat! Kezdjék a legkorábbival!;Julius Caesar;Néro;Augustus;Constantinus;ACBD;TÖRTÉNELEM
Állítsák idõrendbe a felsorolt operákat! Kezdjék a legrégebbivel!;Traviata;Orfeo;A kékszakállú herceg vára;A varázsfuvola;BDAC;OPERA
Állítsák naptár szerinti idõrendi sorrendbe az alábbi keresztény ünnepeket! Kezdjék a legkorábbival!;advent;pünkösd;vízkereszt;húsvét;CDBA;VALLÁS
Tegyék a magyar filmvígjátékokat elsõ bemutatásuk idõrendjébe!;Csinibaba;Liliomfi;Meseautó;6:3;CBAD;FILM
Tegyék a Tisza-parti városokat a folyásirányuknak megfelelõ sorrendbe!;Szolnok;Szeged;Tiszafüred;Tokaj;DCAB;FÖLDRAJZ
Állítsák érmeik megszerzésének idõrendjébe a sydneyi olimpia magyar aranyérmeseit!;Csollány Szilveszter;Nagy Tímea;Kolonics György;Kovács Ágnes;BDAC;SPORT
Állítsák férjük beiktatásának idõrendjébe a híres First Ladyket!;Nancy Reagan;Barbara Bush;Jacqueline Kennedy;Hillary Clinton;CABD;TÖRTÉNELEM
Tegyék születésük idõrendjébe az alábbi magyar festõket!;Csontváry Kosztka Tivadar;Munkácsy Mihály;Csók István;M. S. mester;DBAC;KÉPZÕMÛVÉSZET
Tegyék növekvõ sorrendbe az alábbi ûrmértékeket!;hektó;akó;icce;liter;CDBA;TUDOMÁNY
Állítsák a magyar színésznõket pályakezdésük idõrendjébe!;Eszenyi Enikõ;Hernádi Judit;Gobbi Hilda;Blaha Lujza;DCBA;SZÍNHÁZ
Tegyék a szereplõket a Bibliában való megjelenésük idõrendjébe! Kezdjék a legkorábbival!;Noé;Jákob;Ádám;Salamon;CABD;VALLÁS
Állítsák sorrendbe az alábbi országokat területük nagysága alapján! Kezdjék a legnagyobbal!;Oroszország;Finnország;Mongólia;Andorra;ACBD;FÖLDRAJZ
Tegyék kibocsátásuk idõrendjébe a híres történelmi iratokat!;Code Napóleon;Magna Charta;magyar Aranybulla;olmützi alkotmány;BCAD;TÖRTÉNELEM
Tegyék kitalálásuk idõrendjébe az alábbi ismert nyomozókat!;Hercule Poirot;Sherlock Holmes;Derrick;Linda;BACD;ÁLTALÁNOS
Állítsák sorrendbe az alábbi zenei együtteseket a hangszerek száma szerint! Kezdjék a legkevesebbel!;kvartett;oktett;trió;szextett;CADB;OPERA
Tegyék születésük idõrendjébe az alábbi ismert vallásalapítókat!;Mohamed;Kálvin;Krisztus;Buddha;DCAB;VALLÁS
Tegyék a személyeket az ellenük elkövetett tragikus merényletek idõrendjébe!;J. F. Kennedy;Aldo Moro;Olof Palme;John Lennon;ABDC;TÖRTÉNELEM
Tegyék a magyar színészeket születésük idõrendjébe!;Jávor Pál;Kern András;Bessenyei Ferenc;Szerednyei Béla;ACBD;SZÍNHÁZ
Állítsák magasság szerinti sorrendbe a következõ hegycsúcsokat! Kezdjék a legmagasabbal!;Fuji;Mont Blanc;Mount Everest;Kibo;CDBA;FÖLDRAJZ
